ID,Job_Title,Salary_Estimate,FIELD4,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_Salary_K,company_txt,Job_Location,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,State
10,Data Scientist,$126K-$201K (Glassdoor est.),,3.5,Wish,"San Jose, CA","San Francisco, CA",501 - 1000,2011.0,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',126,201,163.5,Wish,CA,10.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,CA
11,Data Scientist,$64K-$106K (Glassdoor est.),,4.1,ManTech,"Chantilly, VA","Herndon, VA",5001 - 10000,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',64,106,85.0,ManTech,VA,53.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,VA
12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+,1962.0,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",b'\x00',b'\x00',106,172,139.0,Walmart,TX,59.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,TX
13,Data Analyst,$46K-$85K (Glassdoor est.),,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500,2012.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',46,85,65.5,Yesler,WA,9.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,analyst,na,na,WA
14,Data Scientist,$83K-$144K (Glassdoor est.),,3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',83,144,113.5,Takeda Pharmaceuticals,MA,240.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,MA
15,Data Engineer I,$102K-$190K (Glassdoor est.),,3.6,Audible,"Newark, NJ","Newark, NJ",1001 - 5000,1995.0,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',102,190,146.0,Audible,NJ,26.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data engineer,na,na,NJ
16,"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),,3.9,Blueprint Medicines,"Cambridge, MA","Cambridge, MA",51 - 200,2011.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",b'\x00',b'\x00',67,137,102.0,Blueprint Medicines,MA,10.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other scientist,na,P,MA
17,Customer Data Scientist,$118K-$189K (Glassdoor est.),,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',118,189,153.5,h2o.ai,CA,10.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,CA
18,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),,4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 - 200,2010.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',110,175,142.5,Nuna,CA,11.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,CA
19,Data Scientist,$64K-$111K (Glassdoor est.),,4.0,Pinnacol Assurance,"Denver, CO","Denver, CO",501 - 1000,1915.0,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',64,111,87.5,Pinnacol Assurance,CO,106.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,CO
20,Data Scientist,$81K-$130K (Glassdoor est.),,3.2,Porch,"Seattle, WA","Seattle, WA",201 - 500,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",b'\x00',b'\x00',81,130,105.5,Porch,WA,9.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,WA
21,Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),,3.9,Health IQ,"Dallas, TX","Mountain View, CA",201 - 500,2013.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',73,119,96.0,Health IQ,TX,8.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,sr,P,TX
22,Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),,3.8,Truckstop.com,"Chicago, IL","New Plymouth, ID",501 - 1000,1995.0,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',86,139,112.5,Truckstop.com,IL,26.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,IL
23,Data Scientist,$63K-$105K (Glassdoor est.),,4.3,SMC 3,"Louisville, KY","Peachtree City, GA",51 - 200,1935.0,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',63,105,84.0,SMC 3,KY,86.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,KY
25,Data Scientist,$109K-$177K (Glassdoor est.),,4.0,Novetta,"Herndon, VA","Mc Lean, VA",501 - 1000,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",b'\x00',b'\x00',109,177,143.0,Novetta,VA,9.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,VA
26,Digital Health Data Scientist,$63K-$110K (Glassdoor est.),,4.0,Pfizer,"Cambridge, MA","New York, NY",10000+,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',63,110,86.5,Pfizer,MA,172.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,MA
27,Data Scientist,$75K-$124K (Glassdoor est.),,3.5,First Tech Federal Credit Union,"Hillsboro, OR","San Jose, CA",1001 - 5000,1952.0,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',75,124,99.5,First Tech Federal Credit Union,OR,69.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,OR
28,Associate Data Analyst,$34K-$61K (Glassdoor est.),,3.7,The Hanover Insurance Group,"Worcester, MA","Worcester, MA",5001 - 10000,1852.0,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',34,61,47.5,The Hanover Insurance Group,MA,169.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,analyst,na,na,MA
29,Clinical Data Scientist,$63K-$105K (Glassdoor est.),,4.0,Pfizer,"Groton, CT","New York, NY",10000+,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',63,105,84.0,Pfizer,CT,172.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,CT
30,Data Scientist,$80K-$90K (Glassdoor est.),,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000,2010.0,Company - Private,Security Services,Business Services,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',80,90,85.0,KnowBe4,FL,11.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,FL
31,Data Scientist,$56K-$97K (Glassdoor est.),,3.8,PNNL,"Richland, WA","Richland, WA",1001 - 5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",b'\x00',b'\x00',56,97,76.5,PNNL,WA,56.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,WA
32,Data Scientist,$72K-$120K (Glassdoor est.),,3.6,Amrock,"Detroit, MI","Detroit, MI",1001 - 5000,1997.0,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',72,120,96.0,Amrock,MI,24.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,MI
33,Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),,3.8,Novartis,"Cambridge, MA","Basel, Switzerland",10000+,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',86,143,114.5,Novartis,MA,25.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,MA
34,Data Scientist,$93K-$149K (Glassdoor est.),,3.8,Juniper Networks,"Sunnyvale, CA","Sunnyvale, CA",5001 - 10000,1996.0,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',93,149,121.0,Juniper Networks,CA,25.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,CA
35,Data Scientist,$85K-$140K (Glassdoor est.),,4.7,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 - 500,1974.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",b'\x00',b'\x00',85,140,112.5,New England Biolabs,MA,47.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,MA
36,Web Data Analyst,$77K-$135K (Glassdoor est.),,4.2,Clarity Insights,"San Jose, CA","Chicago, IL",201 - 500,2008.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',77,135,106.0,Clarity Insights,CA,13.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,analyst,na,na,CA
37,Data Scientist,$82K-$132K (Glassdoor est.),,3.5,Esri,"Redlands, CA","Redlands, CA",1001 - 5000,1969.0,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,b'\x00',b'\x00',82,132,107.0,Esri,CA,52.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,CA
38,Data Scientist,$83K-$137K (Glassdoor est.),,4.7,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 - 500,2010.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',83,137,110.0,Systems & Technology Research,MA,11.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,P,MA
39,Senior Data Scientist,$115K-$180K (Glassdoor est.),,3.5,Sartorius,"Fremont, CA","Gottingen, Germany",5001 - 10000,1870.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',115,180,147.5,Sartorius,CA,151.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,sr,M,CA
40,Data Engineer,$74K-$138K (Glassdoor est.),,3.5,Lancer Insurance,"Long Beach, NY","Long Beach, NY",201 - 500,1985.0,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',74,138,106.0,Lancer Insurance,NY,36.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data engineer,na,M,NY
41,Data Analyst,$64K-$112K (Glassdoor est.),,4.2,Sauce Labs,"San Francisco, CA","San Francisco, CA",201 - 500,2008.0,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",b'\x00',b'\x00',64,112,88.0,Sauce Labs,CA,13.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,analyst,na,na,CA
43,Data Engineer,$68K-$129K (Glassdoor est.),,3.6,Persivia,"Marlborough, MA","Lowell, MA",Jan-50,1992.0,Company - Private,Biotech & Pharmaceuticals,Information Technology,Less than $1 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',68,129,98.5,Persivia,MA,29.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data engineer,na,na,MA
44,Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),,4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 - 200,2010.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',110,175,142.5,Nuna,CA,11.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,CA
45,Scientist,$52K-$113K (Glassdoor est.),,3.4,Edgewell Personal Care,"Allendale, NJ","Shelton, CT",5001 - 10000,2015.0,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",b'\x00',b'\x00',52,113,82.5,Edgewell Personal Care,NJ,6.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other scientist,na,M,NJ
46,Senior Data Scientist,$110K-$150K(Employer est.),,4.3,Equity Residential,"Chicago, IL","Chicago, IL",1001 - 5000,1993.0,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",b'\x00',b'\x00',110,150,130.0,Equity Residential,IL,28.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,sr,M,IL
48,Data Scientist,Employer Provided Salary:$150K-$160K,,5.0,BPA Services,"Washington, DC","Alexandria, VA",unknown,1992.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x01',150,160,155.0,BPA Services,DC,29.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,DC
49,Lead Data Scientist,$158K-$211K (Glassdoor est.),,3.7,Visa Inc.,"Bellevue, WA","Foster City, CA",10000+,1958.0,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",b'\x00',b'\x00',158,211,184.5,Visa Inc.,WA,63.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,sr,na,WA
50,Associate Data Analyst,$20K-$39K (Glassdoor est.),,3.1,Intrado,"Longmont, CO","Omaha, NE",5001 - 10000,1986.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',20,39,29.5,Intrado,CO,35.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,analyst,na,M,CO
51,Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),,4.7,Centauri,"Beavercreek, OH","Chantilly, VA",501 - 1000,1999.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",b'\x00',b'\x00',56,117,86.5,Centauri,OH,22.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other scientist,na,M,OH
52,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+,1925.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",b'\x00',b'\x00',63,99,81.0,Caterpillar,IL,96.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,IL
54,Data Scientist,$68K-$114K (Glassdoor est.),,3.8,Zimmerman Advertising,"Fort Lauderdale, FL","Fort Lauderdale, FL",501 - 1000,1984.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',68,114,91.0,Zimmerman Advertising,FL,37.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,FL
55,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),,3.3,Liberty Mutual Insurance,"Boston, MA","Boston, MA",10000+,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",b'\x00',b'\x00',86,143,114.5,Liberty Mutual Insurance,MA,109.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,MA
56,Data Science Analyst,$41K-$95K (Glassdoor est.),,4.6,"Torch Technologies, Inc.","Huntsville, AL","Huntsville, AL",1001 - 5000,2002.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',41,95,68.0,"Torch Technologies, Inc.",AL,19.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,AL
57,Data Scientist,$86K-$144K (Glassdoor est.),,3.7,Swiss Re,"Armonk, NY","Zurich, Switzerland",10000+,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",b'\x00',b'\x00',86,144,115.0,Swiss Re,NY,158.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,NY
58,Data Scientist,$80K-$139K (Glassdoor est.),,3.7,Northrop Grumman,"San Diego, CA","Falls Church, VA",10000+,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',80,139,109.5,Northrop Grumman,CA,82.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,CA
59,Data Scientist,$56K-$95K (Glassdoor est.),,3.5,Sartorius,"Albuquerque, NM","Gottingen, Germany",5001 - 10000,1870.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',56,95,75.5,Sartorius,NM,151.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,NM
60,Data Scientist,$120K-$189K (Glassdoor est.),,4.1,Netskope,"San Francisco, CA","Santa Clara, CA",501 - 1000,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",b'\x00',b'\x00',120,189,154.5,Netskope,CA,9.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,P,CA
